Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,-0.1938217608635815,0.9461834313642459,-26.47636138307447
10.63326571637162,-0.2253320123723736,1.062316010735973,-28.87180858955859
11.30663397949639,-0.2623953594034429,1.187175376728148,-31.59089314971851
12.02264434617413,-0.3093022480129415,1.316937685332392,-34.6848244312164
12.78399719463023,-0.36014339135003,1.445802938018214,-38.25188371089249
13.59356390878525,-0.4202176070908079,1.56602192415214,-42.30896786681639
14.45439770745928,-0.4830619277111689,1.659736439148333,-46.94932917790835
15.36974515935271,-0.551888443939146,1.713759226150254,-52.18599328960741
16.34305842723138,-0.6219288229574145,1.706932974516814,-58.01686442981237
17.37800828749376,-0.6871206677834067,1.614875396466242,-64.42002392850335
18.47849797422291,-0.7402932865753595,1.415789743807113,-71.29958840860812
19.64867789993468,-0.7746986704417136,1.086474060601074,-78.48509325530463
20.89296130854039,-0.7871254191558956,0.6182617298250105,-85.80520772809018
22.21604091955812,-0.7768689960516102,0.01153517876287229,-93.04538195202099
23.62290662634463,-0.7449486381011882,-0.720690184886687,-99.99685240841825
25.1188643150958,-0.6972427666020908,-1.56546193797567,-106.5399617709726
26.70955587558986,-0.6403428851192211,-2.489047251950761,-112.5214602126329
28.40098047914214,-0.5790418924213693,-3.47167428709155,-117.9479043573602
30.19951720402016,-0.5174368915671381,-4.49669108535711,-122.836909403599
32.11194909364824,-0.4579293224516234,-5.557790686850026,-127.147677065493
34.14548873833601,-0.4065920477195473,-6.633276116367025,-131.0178725090911
36.30780547701014,-0.3557619238638718,-7.713965996889712,-134.449080701859
38.60705432153815,-0.3126036293833837,-8.803228995764531,-137.4932104677645
41.05190671273078,-0.273635720109291,-9.900802063614679,-140.2510246632196
43.65158322401661,-0.2400117482132293,-10.98022212811141,-142.7452922122615
46.41588833612777,-0.2096590480108365,-12.05936905904681,-144.8795794025986
49.35524741394807,-0.18366369619052,-13.13301161950155,-146.8181613283194
52.48074602497723,-0.1603818498412356,-14.20829335637739,-148.6423068981149
55.80417174769963,-0.1405379902800325,-15.29616778077231,-150.1492979696624
59.33805862753281,-0.12152202456899,-16.37287363768379,-151.5989234546907
63.0957344480193,-0.1060954895545066,-17.44111423902412,-152.7836070277303
67.09137099554111,-0.09176497989401317,-18.51114947054572,-153.9965197447899
71.34003750712564,-0.08007853522381428,-19.584557541509,-154.9915703301302
75.85775750291835,-0.06917703611403399,-20.64106249116429,-155.8891659339289
80.66156921766135,-0.06032795156563797,-21.69362839771812,-156.6768713289678
85.76958985908946,-0.05052928607351736,-22.76141674236776,-157.4096251911613
