Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,-0.0871007162296322,1.95930380899024,-8.752601976642964
10.63326571637162,-0.1046697721123074,2.26473065735787,-9.865619783094546
11.30663397949639,-0.1330421531840158,2.629194149722363,-11.26387541876825
12.02264434617413,-0.174654082354529,3.063514854299703,-13.0744198115132
12.78399719463023,-0.2240824621214452,3.566351694094314,-15.40585995192494
13.59356390878525,-0.2983558364561906,4.143108912264538,-18.40575154355087
14.45439770745928,-0.410923891423242,4.774534132405465,-22.16418558890454
15.36974515935271,-0.5472226069360551,5.426553609445986,-26.67108401062137
16.34305842723138,-0.7121812847301734,6.059585746136806,-31.81297045703312
17.37800828749376,-0.9064568638843586,6.646150536934583,-37.53671208279661
18.47849797422291,-1.126728233549825,7.175050620785143,-43.93013671336993
19.64867789993468,-1.367352626473633,7.623934734613085,-51.36198122587057
20.89296130854039,-1.617329356780257,7.962099611045898,-60.32450820084048
22.21604091955812,-1.838754461864973,8.108908343516676,-71.69525868679825
23.62290662634463,-1.941055119205796,7.855395474063544,-86.92353225884536
25.1188643150958,-1.657442782459816,6.398711617977747,-109.8708129927323
26.70955587558986,-0.9210164538062786,2.671560712730928,-133.1655035773513
28.40098047914214,-0.6268177332270465,0.2670044329534301,-142.1160357100263
30.19951720402016,-0.4672959119359997,-1.579723173119668,-147.453830424358
32.11194909364824,-0.3625364765081754,-3.184317128011274,-151.2837623237191
34.14548873833601,-0.2875456897663998,-4.653089880058728,-154.2447854765365
36.30780547701014,-0.2293933334001803,-6.048617210941686,-156.6006801277185
38.60705432153815,-0.1881908159815268,-7.384251847253909,-158.5565543948477
41.05190671273078,-0.1556075517526815,-8.675127508318575,-160.1465380227249
43.65158322401661,-0.1283148628955335,-9.926314243588314,-161.4870162635479
46.41588833612777,-0.1062302466956351,-11.15249003263436,-162.6032833594697
49.35524741394807,-0.08881867095897408,-12.34127789581099,-163.5249077217881
52.48074602497723,-0.07415191608500686,-13.51761280673126,-164.302451600004
55.80417174769963,-0.0617993038880443,-14.68164592338424,-164.8789050900213
59.33805862753281,-0.05197731650084844,-15.84131531879241,-165.5101391284109
63.0957344480193,-0.04436244577948015,-16.97819707205196,-165.8810437963938
67.09137099554111,-0.03583884860449549,-18.11138071325609,-166.2437061449264
71.34003750712564,-0.02878436315052093,-19.22763786920972,-166.5451758467125
75.85775750291835,-0.02313217554271551,-20.34272297304944,-166.7588958663078
80.66156921766135,-0.01982671948352584,-21.41856184378861,-166.9259856308266
85.76958985908946,-0.01643988096703854,-22.51511703065727,-167.0525082881283
91.20108393559096,-0.01227032876441663,-23.60997146234665,-167.0570178419593
96.97653591082496,-0.009305980569995768,-24.70501197938924,-167.0790200915935
103.1177274593056,-0.005493804704283902,-25.77637770168746,-167.0095534088366
109.6478196143185,-0.004253229529059531,-26.85652865387164,-167.0499094608646
116.5914401179831,-0.002736797632628992,-27.92570807183608,-166.7472844174085
123.9747763028944,-0.000166756947822635,-29.01162853459736,-166.7129925311917
131.8256738556408,3.032560894764665e-05,-30.07522549027901,-166.2400744483614
140.1737418346769,0.003612569088917052,-31.17317734949686,-166.4842540561022
149.0504643386196,0.002947348629344104,-32.26250099764129,-165.7541568446724
158.4893192461114,0.003895471464184185,-33.24004904041732,-165.2153507543939
168.5259044750751,0.003579277176613293,-34.22723945522451,-164.7807175851331
179.1980722375334,0.004448462902073787,-35.44434786785312,-164.1906987207802
190.5460717963248,0.004288941237942712,-36.45341593061882,-163.8237393086338
202.6127012621143,0.007396686624252673,-37.43730652281442,-162.8562356359617
215.4434690031882,0.006359576414118671,-38.55878775525807,-162.8571083700513
229.0867652767774,0.005373280940634339,-39.67747347368286,-161.8319425125281
243.5940447292027,0.008236108308343313,-40.69855139271824,-162.0448883140469
259.0200204531322,0.006962492479851118,-41.73348666136165,-160.6494557598168
275.4228703338166,0.005783097740507516,-42.79305851611824,-159.4602440694937
292.8644564625237,0.009298142340451855,-43.82254420767561,-156.9926295951121
311.4105584446758,0.009331599106264509,-44.86841970984724,-155.4163078211101
331.1311214825911,0.007886725838687733,-46.15176727502586,-155.0712620328971
352.1005201684521,0.009857724998607651,-47.16917137795711,-152.8672159864617
374.3978389823811,0.009749807900676075,-48.55041372868141,-152.438857817843
398.1071705534973,0.01039834664150298,-49.44620540076463,-151.7142125161739
423.3179328088211,0.009060748864470745,-49.95800167428339,-147.6458837669974
450.1252062061337,0.009639528214548559,-51.50405465732257,-149.6080758594413
478.630092322638,0.008654992914062345,-52.64053467015863,-148.4653593434542
508.9400951518094,0.009549330478591602,-53.73911823458695,-140.938768493816
541.1695265464638,0.007873655267915043,-54.47476048381564,-145.61662177038
575.4399373371566,0.009043222829807284,-55.4907972069715,-140.876860043736
611.8805757518219,0.01198352967270076,-56.1431435794416,-127.9476430460284
650.6288748655573,0.01200275692770351,-57.80220743070738,-133.0703909973856
691.8309709189363,0.01206524841054492,-59.04340326872227,-125.6901148604742
735.6422544596413,0.01135738057944568,-58.88111065602635,-125.4650225225181
782.2279563860029,0.01010819671625694,-61.72462675669885,-125.3803285281426
831.7637711026709,0.009834636961820183,-63.60681648894275,-122.7188009106584
884.4365191385999,0.01388251463329917,-62.12905813255274,-98.47859681105776
940.4448517263523,0.01101143108907227,-63.08633747315202,-106.4370587960757
1000,0.009105959155382433,-64.5699471400162,-92.98671444557016
1063.326571637162,0.01030887698472466,-64.182888719286,-83.51734509416886
1130.663397949639,0.009625941952456661,-63.62342681318189,-77.61603222113496
1202.264434617413,0.01191105937994725,-63.34185855376749,-88.42216676863697
1278.399719463023,0.01218523922200436,-62.88562763888752,-77.95615507703273
1359.356390878525,0.01532240371300771,-63.95525030007584,-63.04619986938303
1445.439770745928,0.01238215433331509,-66.21195209455368,-70.70242912555142
1536.974515935271,0.01561484980451083,-63.52625915314012,-45.30371925248926
1634.305842723138,0.01559464344854116,-63.00399690595444,-66.18461118062797
1737.800828749376,0.01040579424175045,-64.40366307601062,-51.89480413030336
1847.849797422291,0.01361524563303039,-66.46811411993187,-51.53455135289735
1964.867789993468,0.01576598239713948,-69.99969123453612,-18.25645981368979
2089.296130854038,0.01468960253324964,-61.95011224414525,-0.8362755948503064
2221.604091955812,0.01566844912782254,-65.66306941338055,-49.86724642287228
2362.290662634463,0.01755223032085123,-64.90538452808009,-19.90246885517877
2511.886431509579,0.01461218884126072,-67.32145135342711,-37.60030409209332
2670.955587558985,0.02027459596406853,-65.01102023551924,-10.12036552264001
2840.098047914214,0.01871108461530452,-67.99549085428326,-34.35177025324284
3019.951720402016,0.02247216711960648,-70.63206147149516,-51.07222875275767
3211.194909364824,0.02072888430356297,-61.86813555413814,-32.2411472456491
3414.5488738336,0.02255606676180738,-64.55837839447204,-41.61158816811413
3630.780547701014,0.02033946232077407,-64.37204718701219,-12.35276349723739
3860.705432153811,0.02463745675160242,-69.19538067287073,-26.22122907306415
4105.190671273078,0.0264649604088933,-60.98715274037033,-25.27239337906869
4365.158322401661,0.02768987114887849,-63.63663170309178,-28.72047861241697
4641.588833612777,0.02586892074036309,-66.00214153859159,-23.49864031975356
4935.524741394806,0.03171182537216408,-66.60958016772605,-63.73059074671473
5248.074602497729,0.03111768628134023,-63.42154195113295,-36.82884049562973
5580.417174769964,0.0346815099912552,-66.30135610576809,-28.01831265102274
5933.805862753281,0.03481732607574172,-70.57164102291166,12.47947916725657
6309.57344480193,0.03944126528597157,-66.14101210412773,-28.11311779717293
6709.137099554112,0.0272444596369678,-67.77980583858627,-23.92136606540861
7134.003750712564,0.03775023205324915,-63.26111337485381,-17.68024139340251
7585.775750291836,0.04214854346969382,-65.29345597052635,-39.46116525881045
8066.156921766135,0.03117398527843415,-63.91054081799811,-36.42934893552388
8576.958985908937,0.0442854869929875,-68.27620994308249,-34.42465445263762
9120.108393559096,0.04465631381432793,-62.45685082368602,-18.15513491852036
9697.653591082497,0.04417782258864093,-68.71079663706314,-36.53947390659663
10311.77274593055,0.05008092975601847,-62.99778149350101,-24.50874640802137
10964.78196143185,0.057474815679927,-61.68990407843406,-6.929204469309852
11659.14401179832,0.05284220419775966,-65.35388286533099,-25.69071853673643
12397.47763028944,0.05736933792925624,-66.159814130006,-29.19873574013342
13182.56738556407,0.05840339996198784,-61.5794786639141,20.92206880164509
14017.37418346769,0.06227356139266124,-60.60305832403906,-51.14612733532078
14905.04643386196,0.0560375483155635,-74.03419498789921,-4.737937499492602
15848.93192461114,0.05911695801346658,-75.04485885182645,0.7421254632184429
16852.59044750751,0.05403306511099983,-60.21011948696043,34.72498555794188
17919.80722375334,0.06286767636441273,-65.9094618614979,0.1860171234681474
19054.60717963246,0.06314972556847952,-75.80503097331143,79.92639854923419
20261.27012621144,0.06381972765899507,-73.49328826585869,-30.06189595886042
21544.34690031884,0.0712694226305344,-62.27211667495882,-20.1679310136504
22908.67652767772,0.07107139225722511,-64.01384048734032,12.18456523175525
24359.40447292027,0.07014893982825106,-72.74310935757694,33.71297661237286
25902.00204531326,0.07959424400590731,-59.83341347835663,7.682855916621023
27542.28703338166,0.07501145606700202,-69.54005978013251,-61.10589365617011
29286.44564625237,0.07587924980087138,-62.49522118721763,55.66595684214684
31141.05584446758,0.07985975991391389,-63.80386570630071,-64.08562989052314
33113.11214825911,0.07618942863579356,-64.2203964463595,103.5397101959158
35210.05201684521,0.08148114769467954,-58.13542874348798,-72.81984629564681
37439.78389823811,0.0835588128676565,-73.31756796675712,155.1011126739025
39810.71705534973,0.08443664388521455,-55.61127712766194,0.5851512206453009
42331.79328088207,0.08039278380456547,-66.52719809329673,65.37219212004649
45012.52062061337,0.08456151153698738,-66.99638078785031,-48.15128682080359
47863.00923226385,0.08947903612852517,-59.39647406760366,-44.97366902806914
50894.00951518089,0.08855608757919922,-65.0846185442566,76.21306367443705
54116.95265464637,0.0875694845146984,-59.37677830317332,-41.16113269508804
57543.99373371566,0.09749208165272567,-62.86197262434588,-79.31758103424947
61188.05757518219,0.1036644791946702,-58.63990091735581,42.35406356773865
65062.88748655573,0.09932950130413308,-61.24917685800072,54.57343421647434
69183.09709189364,0.09898000193519926,-72.73227805201185,121.9276062401902
73564.22544596414,0.1376234742637959,-57.78839008645175,9.578182676333057
78222.79563860029,0.09306030579686479,-82.16284969089494,124.3079039466791
83176.37711026709,0.09035884291657846,-59.11435658220107,-80.62986970664248
88443.65191385998,0.1026716944027857,-70.0612584790411,0.1183156472090872
94044.48517263513,0.1173573352622671,-60.77830846008305,23.32743961897313
100000,0.1195171550521289,-63.6573734726473,120.1862906591119
